Country,Outcome,Coverage,Mediator,Diet-attributable increase,GLP-1 reduction,Offset ratio
MEX,IschStroke,20%,SBP,1.4729,1.02,0.693
MEX,IschStroke,20%,FPG,0.2045,0.0874,0.427
MEX,IschStroke,20%,LDL,0.0104,0.027,1.0
MEX,SAH,20%,SBP,1.4588,1.02,0.699
MEX,SAH,20%,FPG,0.0,0.0874,0.0
MEX,SAH,20%,LDL,0.0,0.027,0.0
MEX,T2D,20%,SBP,0.0,0.0,0.0
MEX,T2D,20%,FPG,0.0,0.0,0.146
MEX,T2D,20%,LDL,0.0,0.0,0.0
NGA,CKD,20%,SBP,0.0,0.0,0.066
NGA,CKD,20%,FPG,0.0,0.0,0.048
NGA,CKD,20%,LDL,0.0,0.0,0.0
NGA,ICH,20%,SBP,0.9266,1.02,1.0
NGA,ICH,20%,FPG,0.0321,0.0874,1.0
NGA,ICH,20%,LDL,0.0,0.0213,0.0
NGA,IHD,20%,SBP,1.245,1.02,0.819
NGA,IHD,20%,FPG,0.0925,0.0874,0.944
NGA,IHD,20%,LDL,0.1103,0.0213,0.193
NGA,IschStroke,20%,SBP,0.9283,1.02,1.0
NGA,IschStroke,20%,FPG,0.1579,0.0874,0.553
NGA,IschStroke,20%,LDL,0.0214,0.0213,0.994
NGA,SAH,20%,SBP,0.9141,1.02,1.0
NGA,SAH,20%,FPG,0.0,0.0874,0.0
NGA,SAH,20%,LDL,0.0,0.0213,0.0
NGA,T2D,20%,SBP,0.0,0.0,0.0
NGA,T2D,20%,FPG,0.0,0.0,0.146
NGA,T2D,20%,LDL,0.0,0.0,0.0
NZL,CKD,20%,SBP,0.0,0.0,0.108
NZL,CKD,20%,FPG,0.0,0.0,0.048
NZL,CKD,20%,LDL,0.0,0.0,0.0
NZL,ICH,20%,SBP,0.9489,1.02,1.0
NZL,ICH,20%,FPG,0.0042,0.0874,1.0
NZL,ICH,20%,LDL,0.0,0.0277,0.0
NZL,IHD,20%,SBP,1.3129,1.02,0.777
NZL,IHD,20%,FPG,0.0782,0.0874,1.0
NZL,IHD,20%,LDL,0.2681,0.0277,0.103
NZL,IschStroke,20%,SBP,0.7365,1.02,1.0
NZL,IschStroke,20%,FPG,0.1929,0.0874,0.453
NZL,IschStroke,20%,LDL,0.0148,0.0277,1.0
NZL,SAH,20%,SBP,0.9962,1.02,1.0
NZL,SAH,20%,FPG,0.0,0.0874,0.0
NZL,SAH,20%,LDL,0.0,0.0277,0.0
NZL,T2D,20%,SBP,0.0,0.0,0.0
NZL,T2D,20%,FPG,0.0,0.0,0.146
NZL,T2D,20%,LDL,0.0,0.0,0.0
ROU,CKD,20%,SBP,0.0,0.0,0.088
ROU,CKD,20%,FPG,0.0,0.0,0.048
ROU,CKD,20%,LDL,0.0,0.0,0.0
ROU,ICH,20%,SBP,4.9107,1.02,0.208
ROU,ICH,20%,FPG,0.0,0.0874,0.0
ROU,ICH,20%,LDL,0.0,0.0266,0.0
ROU,IHD,20%,SBP,5.8678,1.02,0.174
ROU,IHD,20%,FPG,0.0383,0.0874,1.0
ROU,IHD,20%,LDL,0.2359,0.0266,0.113
ROU,IschStroke,20%,SBP,4.5454,1.02,0.224
ROU,IschStroke,20%,FPG,0.2879,0.0874,0.304
ROU,IschStroke,20%,LDL,0.0094,0.0266,1.0
ROU,SAH,20%,SBP,4.6466,1.02,0.22
ROU,SAH,20%,FPG,0.0,0.0874,0.0
ROU,SAH,20%,LDL,0.0,0.0266,0.0
ROU,T2D,20%,SBP,0.0,0.0,0.0
ROU,T2D,20%,FPG,0.0,0.0,0.146
ROU,T2D,20%,LDL,0.0,0.0,0.0
TUR,CKD,20%,SBP,0.0,0.0,0.241
