iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
CAN,IHD,fruits,Female,40-44 years,0.0621473199373345,2.8327465945657537,0.590734185552215,6.526174100566347,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,45-49 years,0.0463615769637846,4.529861615194568,0.9044634892265976,10.90244989426229,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,50-54 years,0.0330280811949268,5.370563328931432,1.0234593160600525,14.221723721331657,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,55-59 years,0.0226231039531039,6.925912128037046,1.0773666970992155,19.98000621278274,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,60-64 years,0.0170166345964656,10.476801089719377,1.4646431427752653,31.0395483935926,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,65-69 years,0.0151260813615895,13.751890828990968,2.002035966417926,39.75808519060996,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,70-74 years,0.0138703112487721,18.1795827063851,2.36367670552003,51.10940831715034,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,75-79 years,0.0187080766041493,31.86796149126677,4.384068763365426,80.53565045022715,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,80-84 years,0.0142970658212989,35.38312647941921,4.5576367732100165,96.67065184340636,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,85-89 years,0.0144240908696117,54.95615842479704,7.102460937957851,152.79498663714028,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,90-94 years,0.0145510251807708,60.28021872317563,7.271426887039533,166.88759349252436,部分汇流-结构小部可及,0.13
CAN,IHD,fruits,Female,95+ years,0.0145277113957005,48.250884890884336,6.0980513135222925,135.81246585344928,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,25-29 years,0.1397995228188117,0.7112178205776577,0.2126323125938719,1.284783567465019,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,30-34 years,0.1342856381012541,2.222992528337622,0.6306117192055916,4.063290535489808,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,35-39 years,0.1274997997706664,5.329178262903268,1.371318328852639,9.89222620968624,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,40-44 years,0.1175137848012276,12.54381874937113,3.216369581414599,23.29055122145497,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,45-49 years,0.0961362394228989,21.05614594353952,5.087394423992988,40.47343805736434,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,50-54 years,0.0761696649414443,36.12606529555996,7.805942318678403,69.00718541754961,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,55-59 years,0.0601389695122084,44.69530453516671,7.91133024336476,85.50259961651398,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,60-64 years,0.0446437610585433,53.16424519527717,9.1094213425209,109.86050813632798,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,65-69 years,0.0413142471311114,69.17798854930287,12.341136969532345,139.32922874401729,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,70-74 years,0.0362420298150554,93.82074879625772,15.41098102502172,188.94275570252708,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,75-79 years,0.0339343475257207,136.22744267802474,26.18672587925142,276.2620331807264,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,80-84 years,0.0327783383174471,173.82420458369157,30.08097008458523,371.8921533497394,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,85-89 years,0.0337120852935405,248.595933719664,45.96044169897657,520.3469201429255,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,90-94 years,0.0328017672309506,221.52950098850027,37.2348867830746,495.8789726411657,部分汇流-结构小部可及,0.13
GBR,IHD,fruits,Female,95+ years,0.0327057604478199,128.97607804975445,21.959345422582768,287.8279865069068,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,25-29 years,0.1161455151947298,16.92033852927811,3.93001286905263,31.91839352810084,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,30-34 years,0.1110612915455901,25.665999431818435,6.340721639101686,46.09283130852848,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,35-39 years,0.1051915395752315,35.49800596966457,8.59463105114921,65.53581242365466,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,40-44 years,0.0921151670746222,53.64135069850022,12.640018824714536,98.84791497366167,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,45-49 years,0.0733871786349966,68.73003083493766,14.561755404532128,134.6260514064382,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,50-54 years,0.0547535254869668,80.55021633724215,16.44717866687591,165.57099118531363,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,55-59 years,0.0394003975272285,80.0283962950716,15.05312640697266,170.35941082371875,部分汇流-结构小部可及,0.13
MEX,IHD,fruits,Female,60-64 years,0.0313220230333072,94.91932228960412,15.354085196267,210.36587033761776,部分汇流-结构小部可及,0.13
