iso3,arm,coverage,med,yr
USA,glp1,0.20,10942.998449427258,2
USA,glp1,0.50,27354.16887482444,2
USA,glp1,afford,54697.24692050246,2
ZAF,combo,0.20,713.2810778013782,2
ZAF,combo,0.50,1780.6310002876917,2
ZAF,combo,afford,2847.576610519759,2
ZAF,diet,0.20,1.4898448914955222,2
ZAF,diet,0.50,1.4898448914955222,2
ZAF,diet,afford,1.4898448914955222,2
ZAF,glp1,0.20,711.8129165761029,2
ZAF,glp1,0.50,1779.1951251932514,2
ZAF,glp1,afford,2846.172734314023,2
AUS,combo,0.20,915.662688413539,3
AUS,combo,0.50,2222.526177509421,3
AUS,combo,afford,4401.226319503125,3
AUS,diet,0.20,44.56942997724991,3
AUS,diet,0.50,44.56942997724991,3
AUS,diet,afford,44.56942997724991,3
AUS,glp1,0.20,871.8333406002885,3
AUS,glp1,0.50,2179.7980178772864,3
AUS,glp1,afford,4360.3095733258615,3
BGD,combo,0.20,2915.41639512293,3
BGD,combo,0.50,6426.560035359081,3
BGD,combo,afford,9939.452275183758,3
BGD,diet,0.20,575.6242352121362,3
BGD,diet,0.50,575.6242352121362,3
BGD,diet,afford,575.6242352121362,3
BGD,glp1,0.20,2343.220019611038,3
BGD,glp1,0.50,5859.491716534342,3
BGD,glp1,afford,9377.49550701972,3
BGR,combo,0.20,1144.4509960319,3
BGR,combo,0.50,2716.508208210814,3
BGR,combo,afford,5341.210803885971,3
BGR,diet,0.20,97.5633142419274,3
BGR,diet,0.50,97.5633142419274,3
BGR,diet,afford,97.5633142419274,3
BGR,glp1,0.20,1048.2854297081642,3
BGR,glp1,0.50,2622.4271519917475,3
BGR,glp1,afford,5250.571352828752,3
BRA,combo,0.20,7019.364651515607,3
BRA,combo,0.50,17037.085843776604,3
BRA,combo,afford,33727.01398363295,3
BRA,diet,0.20,339.3206937073519,3
BRA,diet,0.50,339.3206937073519,3
BRA,diet,afford,339.3206937073519,3
BRA,glp1,0.20,6685.482334814678,3
BRA,glp1,0.50,16711.296146943478,3
BRA,glp1,afford,33414.53854936523,3
CAN,combo,0.20,1578.9315975715565,3
CAN,combo,0.50,3885.933404278794,3
CAN,combo,afford,7732.331999829013,3
CAN,diet,0.20,41.27923335284413,3
CAN,diet,0.50,41.27923335284413,3
CAN,diet,afford,41.27923335284413,3
CAN,glp1,0.20,1538.2985330920774,3
CAN,glp1,0.50,3846.262207105112,3
CAN,glp1,afford,7694.244185118434,3
CHN,combo,0.20,43828.059383955886,3
CHN,combo,0.50,101963.77886275409,3
CHN,combo,afford,198872.11792485404,3
CHN,diet,0.20,5074.788007259907,3
CHN,diet,0.50,5074.788007259907,3
CHN,diet,afford,5074.788007259907,3
CHN,glp1,0.20,38791.932942937245,3
CHN,glp1,0.50,96985.43025158356,3
CHN,glp1,afford,193989.49293374445,3
DEU,combo,0.20,6418.519843977498,3
DEU,combo,0.50,15717.56033225693,3
DEU,combo,afford,31216.24935959985,3
DEU,diet,0.20,219.2356946193468,3
DEU,diet,0.50,219.2356946193468,3
DEU,diet,afford,219.2356946193468,3
DEU,glp1,0.20,6202.769330718034,3
DEU,glp1,0.50,15506.99750459348,3
DEU,glp1,afford,31014.22553413732,3
EGY,combo,0.20,9210.65949980406,3
EGY,combo,0.50,22766.516379939017,3
EGY,combo,afford,45425.53474777589,3
EGY,diet,0.20,189.82964542747868,3
EGY,diet,0.50,189.82964542747868,3
EGY,diet,afford,189.82964542747868,3
EGY,glp1,0.20,9024.455914235885,3
EGY,glp1,0.50,22585.71373619339,3
EGY,glp1,afford,45253.6303180027,3
GBR,combo,0.20,3563.4060332868667,3
GBR,combo,0.50,8730.913561783464,3
GBR,combo,afford,17344.328000123984,3
GBR,diet,0.20,118.6284795938409,3
GBR,diet,0.50,118.6284795938409,3
GBR,diet,afford,118.6284795938409,3
GBR,glp1,0.20,3446.7690593648103,3
GBR,glp1,0.50,8617.238832422843,3
GBR,glp1,afford,17235.52350017256,3
GLB,combo,0.20,222935.28973684425,3
GLB,combo,0.50,527537.1591241665,3
GLB,combo,afford,1035270.647494347,3
GLB,diet,0.20,19883.341541522183,3
GLB,diet,0.50,19883.341541522183,3
GLB,diet,afford,19883.341541522183,3
GLB,glp1,0.20,203240.0050463823,3
GLB,glp1,0.50,508122.6637241776,3
GLB,glp1,afford,1016320.6736477368,3
IND,combo,0.20,19117.34669575454,3
IND,combo,0.50,43463.78669825225,3
IND,combo,afford,84046.26190545064,3
IND,diet,0.20,2887.65678390667,3
IND,diet,0.50,2887.65678390667,3
IND,diet,afford,2887.65678390667,3
IND,glp1,0.20,16243.298234722286,3
IND,glp1,0.50,40610.105629073245,3
IND,glp1,afford,81226.40610566229,3
ISR,combo,0.20,211.19657762955035,3
ISR,combo,0.50,516.2955243367664,3
ISR,combo,afford,1024.763712104453,3
ISR,diet,0.20,7.789905015572002,3
ISR,diet,0.50,7.789905015572002,3
ISR,diet,afford,7.789905015572002,3
ISR,glp1,0.20,203.540736917029,3
ISR,glp1,0.50,508.8391137686024,3
ISR,glp1,afford,1017.6352331888612,3
JPN,combo,0.20,3235.6172863400534,3
JPN,combo,0.50,7697.279781356698,3
JPN,combo,afford,15133.166785381956,3
JPN,diet,0.20,261.12156368734213,3
JPN,diet,0.50,261.12156368734213,3
JPN,diet,afford,261.12156368734213,3
JPN,glp1,0.20,2976.5014601660114,3
JPN,glp1,0.50,7441.161452726599,3
JPN,glp1,afford,14882.014642017137,3
MEX,combo,0.20,4892.891117557017,3
MEX,combo,0.50,12106.535781932247,3
MEX,combo,afford,24138.789224843727,3
MEX,diet,0.20,86.17032532659505,3
MEX,diet,0.50,86.17032532659505,3
MEX,diet,afford,86.17032532659505,3
MEX,glp1,0.20,4808.280092685296,3
MEX,glp1,0.50,12024.244666908222,3
MEX,glp1,afford,24060.31373996425,3
NGA,combo,0.20,2295.276388816739,3
NGA,combo,0.50,5700.365608404287,3
NGA,combo,afford,4565.096544210426,3
NGA,diet,0.20,26.413295777394524,3
NGA,diet,0.50,26.413295777394524,3
NGA,diet,afford,26.413295777394524,3
NGA,glp1,0.20,2269.135983880118,3
NGA,glp1,0.50,5674.632509493722,3
NGA,glp1,afford,4539.2279475599225,3
NZL,combo,0.20,267.5757255253387,3
NZL,combo,0.50,650.4937605684788,3
NZL,combo,afford,1288.596250859255,3
NZL,diet,0.20,12.273906612339944,3
NZL,diet,0.50,12.273906612339944,3
NZL,diet,afford,12.273906612339944,3
NZL,glp1,0.20,255.51652722919928,3
NZL,glp1,0.50,638.7539155497726,3
NZL,glp1,afford,1277.3814117818924,3
ROU,combo,0.20,2515.2558483072617,3
ROU,combo,0.50,5820.448667289246,3
ROU,combo,afford,11343.711901988432,3
ROU,diet,0.20,315.4416518765797,3
ROU,diet,0.50,315.4416518765797,3
ROU,diet,afford,315.4416518765797,3
ROU,glp1,0.20,2204.077106011888,3
ROU,glp1,0.50,5515.638125216994,3
ROU,glp1,afford,11049.44383432656,3
TUR,combo,0.20,5105.574075976414,3
TUR,combo,0.50,12519.530328833858,3
TUR,combo,afford,24892.0604664484,3
TUR,diet,0.20,166.92231340148282,3
TUR,diet,0.50,166.92231340148282,3
TUR,diet,afford,166.92231340148282,3
TUR,glp1,0.20,4941.707172571223,3
TUR,glp1,0.50,12360.21365062667,3
TUR,glp1,afford,24740.238695147786,3
USA,combo,0.20,19889.978517278512,3
USA,combo,0.50,48557.6472689757,3
USA,combo,afford,96342.88925186072,3
USA,diet,0.20,779.6528690776831,3
USA,diet,0.50,779.6528690776831,3
USA,diet,afford,779.6528690776831,3
USA,glp1,0.20,19124.120797165637,3
USA,glp1,0.50,47812.30515513359,3
USA,glp1,afford,95631.26621213632,3
ZAF,combo,0.20,1251.7672229597429,3
ZAF,combo,0.50,3121.8667192577423,3
ZAF,combo,afford,4991.960291474451,3
ZAF,diet,0.20,5.032853274950867,3
ZAF,diet,0.50,5.032853274950867,3
ZAF,diet,afford,5.032853274950867,3
ZAF,glp1,0.20,1246.8072756654374,3
ZAF,glp1,0.50,3117.015390539119,3
ZAF,glp1,afford,4987.216690701956,3
AUS,combo,0.20,1349.5598000164227,4
AUS,combo,0.50,3221.920903693701,4
AUS,combo,afford,6344.737583406604,4
AUS,diet,0.20,101.8703606609447,4
AUS,diet,0.50,101.8703606609447,4
AUS,diet,afford,101.8703606609447,4
AUS,glp1,0.20,1249.3630043769886,4
AUS,glp1,0.50,3124.21563058837,4
AUS,glp1,afford,6251.13437485514,4
BGD,combo,0.20,4555.013531789872,4
BGD,combo,0.50,9433.6370062175,4
BGD,combo,afford,14316.151972809455,4
BGD,diet,0.20,1304.7537829280664,4
BGD,diet,0.50,1304.7537829280664,4
BGD,diet,afford,1304.7537829280664,4
BGD,glp1,0.20,3257.8482956520584,4
BGD,glp1,0.50,8147.827802632957,4
BGD,glp1,afford,13041.666579259912,4
BGR,combo,0.20,1669.980477771486,4
BGR,combo,0.50,3855.982659948236,4
BGR,combo,afford,7509.631521853649,4
BGR,diet,0.20,215.20319599732136,4
BGR,diet,0.50,215.20319599732136,4
BGR,diet,afford,215.20319599732136,4
BGR,glp1,0.20,1457.7405518719456,4
BGR,glp1,0.50,3648.1673323065743,4
BGR,glp1,afford,7309.135668364845,4
BRA,combo,0.20,10468.070980633274,4
BRA,combo,0.50,24974.630089268485,4
BRA,combo,afford,49148.1464334912,4
BRA,diet,0.20,796.0197381964244,4
BRA,diet,0.50,796.0197381964244,4
BRA,diet,afford,796.0197381964244,4
BRA,glp1,0.20,9684.80193637668,4
BRA,glp1,0.50,24210.33947294287,4
BRA,glp1,afford,48415.09180688376,4
CAN,combo,0.20,2280.330729870161,4
CAN,combo,0.50,5557.603124284465,4
CAN,combo,afford,11023.577398538748,4
CAN,diet,0.20,96.44343403619224,4
CAN,diet,0.50,96.44343403619224,4
CAN,diet,afford,96.44343403619224,4
CAN,glp1,0.20,2185.3942345194478,4
CAN,glp1,0.50,5464.910484458879,4
CAN,glp1,afford,10934.580239587716,4
CHN,combo,0.20,66967.0827116869,4
CHN,combo,0.50,149727.42203099138,4
CHN,combo,afford,287720.28693014686,4
CHN,diet,0.20,11808.258992487696,4
CHN,diet,0.50,11808.258992487696,4
CHN,diet,afford,11808.258992487696,4
CHN,glp1,0.20,55247.84280371932,4
CHN,glp1,0.50,138141.2509204792,4
CHN,glp1,afford,276354.66805170226,4
DEU,combo,0.20,9362.044687939531,4
DEU,combo,0.50,22654.76843307144,4
DEU,combo,afford,44818.09530802537,4
DEU,diet,0.20,502.4264736263031,4
DEU,diet,0.50,502.4264736263031,4
DEU,diet,afford,502.4264736263031,4
DEU,glp1,0.20,8867.540313469093,4
DEU,glp1,0.50,22172.06203159935,4
DEU,glp1,afford,44354.82405291777,4
EGY,combo,0.20,12954.785001736258,4
EGY,combo,0.50,31808.637980655803,4
EGY,combo,afford,63359.44969656904,4
EGY,diet,0.20,416.9238934504429,4
EGY,diet,0.50,416.9238934504429,4
EGY,diet,afford,416.9238934504429,4
EGY,glp1,0.20,12545.595356925807,4
EGY,glp1,0.50,31410.977907149365,4
EGY,glp1,afford,62980.811815225694,4
GBR,combo,0.20,5160.746386516232,4
GBR,combo,0.50,12495.46580577988,4
GBR,combo,afford,24725.78830590569,4
GBR,diet,0.20,272.3795758404294,4
GBR,diet,0.50,272.3795758404294,4
GBR,diet,afford,272.3795758404294,4
GBR,glp1,0.20,4892.91431826633,4
GBR,glp1,0.50,12234.400511384065,4
GBR,glp1,afford,24475.85509123636,4
GLB,combo,0.20,334964.09943901433,4
GLB,combo,0.50,768375.344770068,4
GLB,combo,afford,1491013.9398565511,4
GLB,diet,0.20,46094.83106736012,4
GLB,diet,0.50,46094.83106736012,4
GLB,diet,afford,46094.83106736012,4
GLB,glp1,0.20,289302.0772437685,4
GLB,glp1,0.50,723359.7243884953,4
GLB,glp1,afford,1447068.139814171,4
IND,combo,0.20,29688.555924652697,4
IND,combo,0.50,64280.17641320719,4
IND,combo,afford,121951.83990375348,4
IND,diet,0.20,6632.208908669199,4
IND,diet,0.50,6632.208908669199,4
IND,diet,afford,6632.208908669199,4
IND,glp1,0.20,23087.118161495528,4
IND,glp1,0.50,57724.80172805801,4
IND,glp1,afford,115472.9868813311,4
ISR,combo,0.20,312.414419856849,4
ISR,combo,0.50,754.0492231318295,4
ISR,combo,afford,1490.2904930550314,4
ISR,diet,0.20,18.037089202747325,4
ISR,diet,0.50,18.037089202747325,4
ISR,diet,afford,18.037089202747325,4
ISR,glp1,0.20,294.6871115460897,4
ISR,glp1,0.50,736.7829067774857,4
ISR,glp1,afford,1473.782650201863,4
JPN,combo,0.20,4804.452730116678,4
JPN,combo,0.50,11110.254237505334,4
JPN,combo,afford,21620.690908777146,4
JPN,diet,0.20,600.7767899227729,4
JPN,diet,0.50,600.7767899227729,4
JPN,diet,afford,600.7767899227729,4
JPN,glp1,0.20,4208.281412194407,4
JPN,glp1,0.50,10520.966748576706,4
JPN,glp1,afford,21042.81137514977,4
MEX,combo,0.20,7044.052125875853,4
MEX,combo,0.50,17313.480318793074,4
MEX,combo,afford,34453.79733192966,4
MEX,diet,0.20,203.89353075536565,4
MEX,diet,0.50,203.89353075536565,4
MEX,diet,afford,203.89353075536565,4
MEX,glp1,0.20,6843.834188090081,4
MEX,glp1,0.50,17118.733828383163,4
MEX,glp1,afford,34268.05760438884,4
NGA,combo,0.20,3229.8760244470213,4
NGA,combo,0.50,7988.274066500458,4
NGA,combo,afford,6401.553006096921,4
NGA,diet,0.20,60.54928793961881,4
NGA,diet,0.50,60.54928793961881,4
NGA,diet,afford,60.54928793961881,4
NGA,glp1,0.20,3169.943458914695,4
