iso3,sex,outcome,arm,averted_10yr,averted_yr1,averted_yr10,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,yr15,yr16,yr17,yr18,yr19,yr20,yr21,yr22,yr23,yr24,yr25,yr26,yr27,yr28,yr29,yr30,coverage
ZAF,Male,IHD,glp1,4740.00646639944,68.5271567293621,173.5347202162411,68.5271567293621,168.16346807115224,166.2546615204301,163.80462229041404,161.55287284004226,159.56113984833246,157.8594167317333,156.46202927843842,155.3709234561611,154.5785680072986,154.07081914808805,153.8295635367176,153.83491988599417,154.06686184527643,154.50622665108313,155.1351556647278,155.93706405690318,156.896260569054,157.99734174906916,159.22447565340553,160.56067356880158,161.98712891695322,163.48268274379734,165.02345652908116,166.58267620946208,168.13069656765947,169.6352225436749,171.06171351190642,172.37394805817894,173.5347202162411,0.20
ZAF,Male,IHD,diet,715.0022594328948,0.0,46.6793717736764,0.0,0.3270355658478365,0.8189325793464377,1.5542600035059877,2.61117148336416,4.041371840168722,5.845035658701818,7.965552501696948,10.309031101583969,12.773720430541289,15.272066718447604,17.73971368471757,20.13500571955228,22.43434596359293,24.62690392836157,26.71015274636011,28.68655791809215,30.561272803810425,32.3405848124894,34.03088208911868,35.637970773717825,37.16662909968363,38.62032657312011,40.00106452999171,41.309311682354746,42.54401813890581,43.70269644942891,44.78156036442306,45.77571249829271,46.6793717736764,0.20
ZAF,Male,IHD,combo,5446.430369688407,68.5271567293621,219.6988746397656,68.5271567293621,168.48574805927092,167.06144339332786,165.3359624791392,164.12593721200574,163.5442080515768,163.62115149592682,164.31551841676628,165.53688382118708,167.1775059632564,169.13692578585324,171.33350265723493,173.70615737892513,176.2114475864546,178.81937981191004,181.5094632943692,184.26742191074663,187.0825444581788,189.9455468475935,192.8468353503522,195.7751026308288,198.71622404438315,201.6524431367216,204.5618441769948,207.4181097275032,210.19055621191,212.8444328164078,215.34146063848675,217.64058096196823,219.6988746397656,0.20
ZAF,Female,IHD,glp1,4277.522636077114,55.7601511545181,162.67468405250474,55.7601511545181,136.6194117412124,136.16411711949695,135.45536058877224,135.0176600691484,134.84919473310583,134.9347944007368,135.2561231926411,135.79232545732702,136.52055386534812,137.4166494887559,138.4559493817087,139.61413801980052,140.86804844516155,142.19633303558112,143.57994832187617,145.0024247333913,146.44991604524876,147.9110426657844,149.37655725043442,150.83887072459763,152.2914822266448,153.728358405604,155.14330655655067,156.52938281434945,157.87837155275702,159.18036570343975,160.42347034163504,161.59364398898106,162.67468405250474,0.20
ZAF,Female,IHD,diet,500.5551150777301,0.0,33.89337379225071,0.0,0.2275938439670426,0.5599161216996436,1.0494045706309407,1.7478747911209211,2.6904572288858617,3.88001649753096,5.283811106501162,6.8453914190140495,8.50256824636017,10.200898910570686,11.899272466303955,13.5697815145395,15.19511481776135,16.765563723070954,18.27651941606382,19.72664455887389,21.11662512332623,22.448342803552805,23.724325058350587,24.94736760558408,26.12026007187524,27.24557315057973,28.325484863122256,29.361635954479425,30.355011868919973,31.30585264291949,32.2135935580427,33.07683935183195,33.89337379225071,0.20
ZAF,Female,IHD,combo,4771.543467935748,55.7601511545181,196.14685615572307,55.7601511545181,136.8436960362269,136.7156791309535,136.48912777935584,136.73964692661502,137.50009619700904,138.75821920423368,140.46351492284884,142.53958159893773,144.90233325699774,147.47396591375218,150.18927671996062,152.99640072378315,155.85505321187156,158.73425822030003,161.61037192219374,164.4655533513942,167.2865851526185,170.06390176416608,172.7907130154981,175.46215779074555,178.0744630975696,180.62411299422456,183.10704980889025,185.51793906627245,187.8495317681627,190.09215507912995,192.2333565885947,194.2577193832003,196.14685615572307,0.20
MEX,Male,IHD,glp1,32434.19610996805,387.92790212784894,1271.138601588871,387.92790212784894,948.2264207667758,932.4019606939692,924.1152232845488,924.2615790612616,930.7491292037594,941.949595331389,956.6172961775736,973.7867456386592,992.7006177256408,1012.7589844231696,1033.482678406668,1054.4860593952471,1075.456180515408,1096.1364784955804,1116.313815646281,1135.808123720446,1154.464144636513,1172.14490270018,1188.7266240690951,1204.0948703214526,1218.1416902459314,1230.7636254114768,1241.8604337419383,1251.3344214589015,1259.0902963300032,1265.0354728718085,1269.0807720595185,1271.1414639181312,1271.138601588871,0.20
MEX,Male,IHD,diet,21131.59387203836,0.0,1318.3245516838217,0.0,9.793747004907344,24.873365938619827,47.58416566095548,80.23448713721882,124.28625362396996,179.60299273591954,244.3303386249172,315.5318375655333,390.0989204789512,465.4051094914757,539.5479472526058,611.3044583514711,679.9712954020652,745.1964593649318,806.8448377352906,864.9041247452697,919.424157627931,970.480122510664,1018.1514912424173,1062.510793190042,1103.618292475352,1141.5200862229103,1176.2481158228911,1207.8212113625775,1236.246679605087,1261.5221804779867,1283.6377721041065,1302.5780765984673,1318.3245516838217,0.20
MEX,Male,IHD,combo,53290.63303576561,387.92790212784894,2574.946292335313,387.92790212784894,957.8459880203008,956.8262097007246,970.8497354702412,1003.0853128887248,1052.8859436663915,1118.4999144652538,1196.8698786948516,1284.152390230709,1376.5384392877313,1470.8456944770296,1564.7208655492286,1656.570192035957,1745.3827051832925,1830.549290888376,1911.717968350349,1988.6912117162133,2061.358072079587,2129.651425373071,2193.5221056343144,2252.92391750816,2307.805479316434,2358.106293121848,2403.7554234545096,2444.671808742147,2480.765635451477,2511.9404535311623,2538.095856857253,2559.1306296071125,2574.946292335313,0.20
MEX,Female,IHD,glp1,26069.20085452871,322.51061633459904,1157.031375409788,322.51061633459904,757.84191001211,714.3173543156008,689.2712386127678,678.908824241611,678.7319404179289,685.730835021117,697.8767080079779,713.7671403655695,732.4042004148941,753.0563145355991,775.1717483144021,798.3235984170897,822.1739950939227,846.4500870621123,870.927353141713,895.4175685304217,919.7598114294524,943.81352002715,967.4529801974568,990.5628486509376,1013.0344579443336,1034.762744512307,1055.6437079385796,1075.572358550824,1094.441145273915,1112.1388780849957,1128.5501700589375,1143.5554236105963,1157.031375409788,0.20
MEX,Female,IHD,diet,18069.481627847992,0.0,1199.0207297617017,0.0,8.229258328203287,20.7317284185483,39.48078105447348,66.41530046964908,102.73722456553514,148.27320360319573,201.4029765503437,259.6479499084526,320.47478443845466,381.84151609407854,442.3646196020127,501.2387867667858,558.0710933283117,612.7238438323257,665.198337811773,715.559907841176,763.8941297659476,810.2835085785628,854.7964326024958,897.4829214914353,938.373815736588,977.4814920380596,1014.8010911892488,1050.3117840531777,1083.977909528301,1115.7499856783834,1145.5656776229443,1173.350837187827,1199.0207297617017,0.20
MEX,Female,IHD,combo,43911.1360366992,322.51061633459904,2342.824420991965,322.51061633459904,765.924812694313,734.6790010779223,728.0610644982371,744.1864784159479,779.746023460335,831.5689536616264,896.042457370866,969.3328910950004,1047.9525788334286,1129.1591783662006,1211.0350392232504,1292.354955107454,1372.3884352722523,1450.7217267294182,1527.1269990446308,1601.4765476708126,1673.6906014829435,1743.7073002074612,1811.4661847824027,1876.899432036109,1939.9272823654464,2000.455612393198,2058.3745582357224,2113.5576746656734,2165.8614547856123,2215.1252230244863,2261.171507077496,2303.807025794391,2342.824420991965,0.20
AUS,Male,IHD,glp1,6406.031578366859,64.23532216840249,244.18570572471072,64.23532216840249,165.60998108970307,169.72807381302664,174.11610005357943,179.18000353811658,184.6377277241536,190.2276726688688,195.7452792476797,201.04503636922163,206.0330865757605,210.6566975579736,214.89361157521853,218.74272901060613,222.21666823293708,225.33621181854323,228.1263788380893,230.6137655027378,232.8248010226198,234.78462022936947,236.51632584578687,238.040482397897,239.37474193618613,240.53354638011297,241.52788305364447,242.36509081252007,243.04872635424908,243.57850594069896,243.95033859722025,244.1564642872254,244.18570572471072,0.20
AUS,Male,IHD,diet,9659.3661948897,0.0,574.4693592606964,0.0,5.821222225613383,14.20204071443368,26.46987927650116,43.81819429357347,66.88314393182918,95.36375820329704,128.01952221991814,163.09155601649763,198.8438234593777,233.9174297971549,267.42813465194195,298.9010435061828,328.15159330165625,355.1750431882683,380.0650522899923,402.9609233539341,424.016392747224,443.3826164848506,461.1997473584888,477.5933616188049,492.67342992088015,506.5344982992247,519.2563560534218,530.9048339048386,541.5325865280829,551.1798286964986,559.87505189898,567.6357716875355,574.4693592606964,0.20
AUS,Male,IHD,combo,15942.768059723576,64.23532216840249,812.1229761853101,64.23532216840249,171.33444951657657,183.6929009357628,200.1509259947761,222.2904070045952,250.45890575881452,284.10334143964246,321.80258118055644,361.6823779777842,401.9399758434884,441.1827325440172,478.51444680956047,513.4627125838997,545.8549516294661,575.7043634048132,603.1259009085297,628.2816127002152,651.348066594881,672.4983626678804,691.8930087230801,709.6758215549562,725.9724832413995,740.8903801230517,754.5189852532785,766.9304272835361,778.1801091999405,788.3073600804782,797.3361612473673,805.2760091675154,812.1229761853101,0.20
AUS,Female,IHD,glp1,3767.5514534738086,45.4042348406183,153.6453657871898,45.4042348406183,108.42022800441192,102.9600112090884,100.84816284310546,100.91704494441184,102.3056355203189,104.50565042012568,107.19588736942931,110.16257412025334,113.25962918782898,116.3865895602612,119.47491642650856,122.4787626568832,125.36845596327656,128.12582031164857,130.74081461640162,133.20913007624222,135.53047813344347,137.70736399148336,139.7441903613435,141.6465769680599,143.4208147829213,145.07340082794508,146.61062057279196,148.03816123512115,149.36075143022026,150.58183119029854,151.7032618674857,152.7250882546905,153.6453657871898,0.20
AUS,Female,IHD,diet,6594.364603820019,0.0,395.5715606918493,0.0,4.833232015611429,11.064024975014036,19.77056090529732,31.81949505231205,47.63795859979655,66.99118451492541,89.01340680304384,112.5181730501481,136.36962441182368,159.70792513979725,181.99524568639208,202.9575545420721,222.499104057184,240.6291949883889,257.4115664509264,272.93360712793947,287.289353461314,300.5709565913312,312.8649080234445,324.25071925873635,334.80072817813743,344.5803164734898,353.6481820732279,362.0565134454701,369.8510233835223,377.070858042347,383.7484255594609,389.90920031701535,395.5715606918493,0.20
