iso3,arm,coverage,flow,yr
IND,glp1,0.20,7500.863468895704,10
IND,glp1,0.50,18763.017598274742,10
IND,glp1,afford,37562.40962063414,10
ISR,combo,0.20,201.5539592682105,10
ISR,combo,0.50,385.8059425830165,10
ISR,combo,afford,693.7589754209152,10
ISR,diet,0.20,78.9337381651361,10
ISR,diet,0.50,78.9337381651361,10
ISR,diet,afford,78.9337381651361,10
ISR,glp1,0.20,123.86820310661426,10
ISR,glp1,0.50,309.9837757223604,10
ISR,glp1,afford,621.0200934751924,10
JPN,combo,0.20,3492.155547349048,10
JPN,combo,0.50,5414.920413066076,10
JPN,combo,afford,8623.261421980107,10
JPN,diet,0.20,2211.236675829532,10
JPN,diet,0.50,2211.236675829532,10
JPN,diet,afford,2211.236675829532,10
JPN,glp1,0.20,1296.3662674996085,10
JPN,glp1,0.50,3242.2565166592685,10
JPN,glp1,afford,6489.017689092994,10
MEX,combo,0.20,3497.9329578833003,10
MEX,combo,0.50,7314.969549512461,10
MEX,combo,afford,13712.32628133587,10
MEX,diet,0.20,961.99897837525,10
MEX,diet,0.50,961.99897837525,10
MEX,diet,afford,961.99897837525,10
MEX,glp1,0.20,2551.365844245578,10
MEX,glp1,0.50,6391.486990910937,10
MEX,glp1,afford,12827.145665479047,10
NGA,combo,0.20,1254.6775039985696,10
NGA,combo,0.50,2751.32507929498,10
NGA,combo,afford,2251.7967774355056,10
NGA,diet,0.20,260.1164672566956,10
NGA,diet,0.50,260.1164672566956,10
NGA,diet,afford,260.1164672566956,10
NGA,glp1,0.20,996.8781168972891,10
NGA,glp1,0.50,2496.994330232679,10
NGA,glp1,afford,1996.3107521085915,10
NZL,combo,0.20,244.99357581062168,10
NZL,combo,0.50,451.782627673136,10
NZL,combo,afford,797.3930801460502,10
NZL,diet,0.20,107.37288436457072,10
NZL,diet,0.50,107.37288436457072,10
NZL,diet,afford,107.37288436457072,10
NZL,glp1,0.20,139.23221697003794,10
NZL,glp1,0.50,348.43179441743735,10
NZL,glp1,afford,698.0410878231917,10
ROU,combo,0.20,2590.878989096224,10
