iso3,outcome,averted_10yr,gdd_var
BRA,IschStroke,140671.82050528406,v37
CAN,CKD,9670.84301641503,v37
CAN,IHD,46768.808308306936,v37
CAN,IschStroke,19906.77786329683,v37
CHN,CKD,157214.94336620002,v37
CHN,IHD,2508963.425345716,v37
CHN,IschStroke,2933592.0640996024,v37
DEU,CKD,32293.375739461095,v37
DEU,IHD,173772.31823407003,v37
DEU,IschStroke,64849.996411581866,v37
EGY,CKD,37617.369011627336,v37
EGY,IHD,215115.64592130712,v37
EGY,IschStroke,59679.31971111063,v37
GBR,CKD,10234.861872385925,v37
GBR,IHD,91334.48352636285,v37
GBR,IschStroke,33872.74513682248,v37
GLB,CKD,1320215.591029021,v37
GLB,IHD,10859786.487765241,v37
GLB,IschStroke,7377030.916715877,v37
IND,CKD,82197.2747581058,v37
IND,IHD,1868503.6296127376,v37
IND,IschStroke,832743.4235571951,v37
ISR,CKD,3127.4658965615226,v37
ISR,IHD,6808.955877659994,v37
ISR,IschStroke,2960.5676632247623,v37
JPN,CKD,26623.284720329397,v37
JPN,IHD,119405.25473007109,v37
JPN,IschStroke,108186.30068444822,v37
MEX,CKD,52991.95991049066,v37
MEX,IHD,166750.56290047246,v37
MEX,IschStroke,41743.08024571165,v37
NGA,CKD,26592.881179675045,v37
NGA,IHD,80300.25035252441,v37
NGA,IschStroke,71911.95505420139,v37
NZL,CKD,1064.3026728960103,v37
