iso3,yr,cum_averted,gdd_var,factor
EGY,15,3835.4,v01,Fruits
GBR,15,3202.1,v01,Fruits
GLB,15,550022.6,v01,Fruits
IND,15,501356.8,v01,Fruits
ISR,15,71.3,v01,Fruits
JPN,15,10880.5,v01,Fruits
MEX,15,3824.3,v01,Fruits
NGA,15,9914.8,v01,Fruits
NZL,15,287.4,v01,Fruits
ROU,15,1892.8,v01,Fruits
TUR,15,787.6,v01,Fruits
USA,15,15505.7,v01,Fruits
ZAF,15,12019.3,v01,Fruits
AUS,16,1383.4,v01,Fruits
BGD,16,33825.0,v01,Fruits
BGR,16,2098.1,v01,Fruits
BRA,16,8208.8,v01,Fruits
CAN,16,893.0,v01,Fruits
CHN,16,150452.6,v01,Fruits
DEU,16,4838.7,v01,Fruits
EGY,16,4466.5,v01,Fruits
GBR,16,3725.2,v01,Fruits
GLB,16,645945.3,v01,Fruits
IND,16,584897.3,v01,Fruits
ISR,16,84.0,v01,Fruits
JPN,16,12571.8,v01,Fruits
MEX,16,4519.3,v01,Fruits
NGA,16,11738.0,v01,Fruits
NZL,16,334.9,v01,Fruits
ROU,16,2157.6,v01,Fruits
TUR,16,919.1,v01,Fruits
USA,16,18165.2,v01,Fruits
ZAF,16,14063.7,v01,Fruits
AUS,17,1596.1,v01,Fruits
BGD,17,38898.6,v01,Fruits
BGR,17,2361.3,v01,Fruits
BRA,17,9547.6,v01,Fruits
CAN,17,1037.5,v01,Fruits
CHN,17,174494.5,v01,Fruits
DEU,17,5534.6,v01,Fruits
EGY,17,5134.8,v01,Fruits
GBR,17,4276.7,v01,Fruits
GLB,17,748231.7,v01,Fruits
IND,17,673457.5,v01,Fruits
ISR,17,97.5,v01,Fruits
JPN,17,14334.2,v01,Fruits
MEX,17,5266.1,v01,Fruits
NGA,17,13711.7,v01,Fruits
NZL,17,385.2,v01,Fruits
ROU,17,2429.6,v01,Fruits
TUR,17,1058.7,v01,Fruits
USA,17,20982.5,v01,Fruits
ZAF,17,16237.1,v01,Fruits
AUS,18,1820.1,v01,Fruits
BGD,18,44225.5,v01,Fruits
BGR,18,2628.9,v01,Fruits
BRA,18,10969.8,v01,Fruits
CAN,18,1190.7,v01,Fruits
CHN,18,199926.2,v01,Fruits
DEU,18,6260.4,v01,Fruits
EGY,18,5838.0,v01,Fruits
GBR,18,4854.1,v01,Fruits
GLB,18,856459.9,v01,Fruits
IND,18,766721.2,v01,Fruits
ISR,18,111.9,v01,Fruits
JPN,18,16158.4,v01,Fruits
MEX,18,6062.3,v01,Fruits
NGA,18,15832.6,v01,Fruits
NZL,18,437.9,v01,Fruits
ROU,18,2707.6,v01,Fruits
TUR,18,1206.0,v01,Fruits
USA,18,23941.6,v01,Fruits
ZAF,18,18531.8,v01,Fruits
AUS,19,2054.2,v01,Fruits
BGD,19,49787.6,v01,Fruits
BGR,19,2899.7,v01,Fruits
BRA,19,12470.1,v01,Fruits
CAN,19,1351.7,v01,Fruits
CHN,19,226642.3,v01,Fruits
DEU,19,7012.9,v01,Fruits
EGY,19,6574.0,v01,Fruits
GBR,19,5455.1,v01,Fruits
GLB,19,970230.5,v01,Fruits
IND,19,864403.5,v01,Fruits
ISR,19,127.0,v01,Fruits
JPN,19,18036.3,v01,Fruits
MEX,19,6905.4,v01,Fruits
NGA,19,18097.7,v01,Fruits
NZL,19,492.8,v01,Fruits
ROU,19,2990.3,v01,Fruits
TUR,19,1360.6,v01,Fruits
USA,19,27027.0,v01,Fruits
ZAF,19,20941.1,v01,Fruits
AUS,20,2297.9,v01,Fruits
BGD,20,55568.6,v01,Fruits
BGR,20,3172.9,v01,Fruits
BRA,20,14042.9,v01,Fruits
CAN,20,1520.0,v01,Fruits
CHN,20,254540.9,v01,Fruits
DEU,20,7788.7,v01,Fruits
EGY,20,7340.7,v01,Fruits
GBR,20,6077.7,v01,Fruits
GLB,20,1089165.4,v01,Fruits
IND,20,966243.9,v01,Fruits
ISR,20,142.8,v01,Fruits
JPN,20,19961.1,v01,Fruits
MEX,20,7793.0,v01,Fruits
NGA,20,20504.2,v01,Fruits
NZL,20,549.7,v01,Fruits
ROU,20,3276.9,v01,Fruits
TUR,20,1522.0,v01,Fruits
USA,20,30224.1,v01,Fruits
ZAF,20,23458.8,v01,Fruits
AUS,21,2550.4,v01,Fruits
BGD,21,61553.9,v01,Fruits
BGR,21,3447.6,v01,Fruits
BRA,21,15683.1,v01,Fruits
CAN,21,1694.8,v01,Fruits
CHN,21,283523.4,v01,Fruits
DEU,21,8585.0,v01,Fruits
EGY,21,8136.2,v01,Fruits
GBR,21,6719.8,v01,Fruits
GLB,21,1212905.7,v01,Fruits
IND,21,1071999.9,v01,Fruits
ISR,21,159.4,v01,Fruits
JPN,21,21927.0,v01,Fruits
MEX,21,8722.7,v01,Fruits
NGA,21,23048.9,v01,Fruits
NZL,21,608.4,v01,Fruits
ROU,21,3566.6,v01,Fruits
TUR,21,1689.9,v01,Fruits
USA,21,33519.5,v01,Fruits
ZAF,21,26079.6,v01,Fruits
AUS,22,2810.9,v01,Fruits
BGD,22,67729.7,v01,Fruits
BGR,22,3723.1,v01,Fruits
BRA,22,17385.7,v01,Fruits
CAN,22,1875.6,v01,Fruits
CHN,22,313493.1,v01,Fruits
DEU,22,9398.6,v01,Fruits
EGY,22,8958.6,v01,Fruits
GBR,22,7379.7,v01,Fruits
GLB,22,1341109.2,v01,Fruits
IND,22,1181440.4,v01,Fruits
ISR,22,176.6,v01,Fruits
JPN,22,23928.9,v01,Fruits
MEX,22,9692.3,v01,Fruits
NGA,22,25728.5,v01,Fruits
NZL,22,668.8,v01,Fruits
ROU,22,3858.8,v01,Fruits
TUR,22,1863.7,v01,Fruits
USA,22,36900.5,v01,Fruits
ZAF,22,28798.6,v01,Fruits
AUS,23,3079.0,v01,Fruits
BGD,23,74083.2,v01,Fruits
BGR,23,3999.0,v01,Fruits
BRA,23,19145.6,v01,Fruits
CAN,23,2061.8,v01,Fruits
CHN,23,344355.7,v01,Fruits
DEU,23,10227.0,v01,Fruits
EGY,23,9805.7,v01,Fruits
GBR,23,8055.7,v01,Fruits
GLB,23,1473447.4,v01,Fruits
IND,23,1294339.7,v01,Fruits
ISR,23,194.4,v01,Fruits
JPN,23,25962.6,v01,Fruits
MEX,23,10699.5,v01,Fruits
NGA,23,28539.6,v01,Fruits
NZL,23,730.7,v01,Fruits
ROU,23,4152.8,v01,Fruits
TUR,23,2043.3,v01,Fruits
USA,23,40355.6,v01,Fruits
ZAF,23,31611.3,v01,Fruits
AUS,24,3353.9,v01,Fruits
BGD,24,80601.7,v01,Fruits
BGR,24,4274.6,v01,Fruits
BRA,24,20958.0,v01,Fruits
CAN,24,2252.8,v01,Fruits
CHN,24,376018.7,v01,Fruits
DEU,24,11067.5,v01,Fruits
EGY,24,10675.5,v01,Fruits
GBR,24,8746.0,v01,Fruits
GLB,24,1609602.2,v01,Fruits
IND,24,1410472.4,v01,Fruits
ISR,24,212.9,v01,Fruits
JPN,24,28024.0,v01,Fruits
MEX,24,11741.9,v01,Fruits
NGA,24,31478.5,v01,Fruits
NZL,24,793.9,v01,Fruits
ROU,24,4448.1,v01,Fruits
TUR,24,2228.1,v01,Fruits
USA,24,43873.9,v01,Fruits
ZAF,24,34513.4,v01,Fruits
AUS,25,3635.3,v01,Fruits
BGD,25,87272.5,v01,Fruits
BGR,25,4549.4,v01,Fruits
BRA,25,22818.1,v01,Fruits
CAN,25,2448.1,v01,Fruits
CHN,25,408391.0,v01,Fruits
DEU,25,11917.6,v01,Fruits
EGY,25,11565.6,v01,Fruits
GBR,25,9449.2,v01,Fruits
GLB,25,1749264.1,v01,Fruits
IND,25,1529608.6,v01,Fruits
