iso3,outcome,glp1_channel,conv_wt,deaths,deaths_lo,deaths_hi,rate_per_100k
CAN,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,72.19189603623376,-4.5285469784414785,169.17047455477868,0.25926361336430165
CAN,SAH,完全汇流-结构可及,1.0,62.262021039164566,0.29911733864456946,222.01698375661724,0.22360233539060984
CAN,SAH,纯直接效应-结构不可及,0.0,-102.45891861753714,-466.49868791404367,209.11928343716173,-0.3679619309187967
CAN,T2D,完全汇流-结构可及,1.0,1479.3160712095482,303.3399482944877,2961.4046847431096,5.3126853703519785
CAN,T2D,纯直接效应-结构不可及,0.0,20.1276872821095,5.192959681836335,42.23877146328686,0.07228480231087515
CHN,CKD,完全汇流-结构可及,1.0,24092.73812210762,4990.4474366982095,62447.65822602139,2.345413381071081
CHN,ICH,基本不汇流-结构近乎不可及,0.024,54903.401013043884,-3265.3552878488777,121679.36353377344,5.344812646435716
CHN,ICH,完全汇流-结构可及,1.0,150081.3906522088,38597.4713563081,323285.4814910007,14.610331963989061
CHN,ICH,纯直接效应-结构不可及,0.0,-53844.059694465665,-293549.8970174138,137665.00841157837,-5.241686414327006
CHN,ICH,部分汇流-结构小部可及,0.119,-0.14831876111300765,-0.9269614485932474,0.020736296274612057,-1.443874105198226e-05
CHN,IHD,基本不汇流-结构近乎不可及,0.006,42532.43245887536,-63983.056512034185,212154.8948260652,4.140506392962099
CHN,IHD,完全汇流-结构可及,1.0,216657.39638265944,43452.51619415665,483982.9229668976,21.0914655697697
CHN,IHD,纯直接效应-结构不可及,0.0,292838.21783236036,-75373.58442279615,819103.3086140939,28.50762213543468
CHN,IHD,部分汇流-结构小部可及,0.2012,458739.7186086573,118101.28863861847,926602.190463197,44.658032183824076
CHN,IschStroke,完全汇流-结构可及,1.0,106669.62886038038,23560.412805689542,242519.59460116594,10.384223396071851
CHN,IschStroke,纯直接效应-结构不可及,0.0,4619.6535553096655,-16647.353280621704,41566.80764784343,0.44972045973444735
CHN,IschStroke,部分汇流-结构小部可及,0.17066666666666666,28686.284394133007,-24472.06147695433,93307.19260862516,2.7925923126799987
CHN,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,4903.256790136857,-254.47112141572921,11183.130631202726,0.4773290618994448
CHN,SAH,完全汇流-结构可及,1.0,13103.4918046299,3367.5665040062668,29672.54308217518,1.2756169457191486
CHN,SAH,纯直接效应-结构不可及,0.0,-5069.5791717330785,-27189.307915431542,12121.527153260235,-0.49352044443929133
CHN,T2D,完全汇流-结构可及,1.0,33701.248121820296,3114.2460794390768,81703.45773057408,3.2807959769082196
CHN,T2D,纯直接效应-结构不可及,0.0,761.0273368269505,104.43345652593743,2041.6211985048612,0.07408554769110962
DEU,CKD,完全汇流-结构可及,1.0,3991.2727885366876,1028.6788574670509,9536.876403489072,6.236492124677394
DEU,ICH,基本不汇流-结构近乎不可及,0.024,420.30169826064423,-28.23880246845349,892.4638115145879,0.6567349239368954
DEU,ICH,完全汇流-结构可及,1.0,425.2834838635661,2.664329072218613,1487.009433154757,0.6645191241971949
DEU,ICH,纯直接效应-结构不可及,0.0,-555.3847856116912,-3125.38544520559,1408.254867532467,-0.86780659332053
DEU,ICH,部分汇流-结构小部可及,0.119,10.423952104939591,-0.04437865611476511,58.97342451523457,0.016287760485121885
DEU,IHD,基本不汇流-结构近乎不可及,0.006,8414.957352577962,-8137.196599732881,27355.06533334094,13.14864155854633
DEU,IHD,完全汇流-结构可及,1.0,3608.5436744660374,18.141010624989786,12533.03650323636,5.6384655721847325
DEU,IHD,纯直接效应-结构不可及,0.0,19975.148092993448,-5034.549271726403,48204.81199659559,31.21181146250115
DEU,IHD,部分汇流-结构小部可及,0.2012,17749.756418144636,6215.486988185912,32023.596045933038,27.734565383411287
DEU,IschStroke,完全汇流-结构可及,1.0,1413.1550150766063,118.88890972423955,4687.462540451537,2.208100169897122
DEU,IschStroke,纯直接效应-结构不可及,0.0,220.56594561145084,-376.1238316398997,1194.1747318210178,0.34464138525649446
DEU,IschStroke,部分汇流-结构小部可及,0.17066666666666666,803.754248584568,-760.2148483516781,2491.2007868454043,1.2558918688470344
DEU,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,165.78574512299235,-11.563276135899681,358.0075996326182,0.25904555980559274
DEU,SAH,完全汇流-结构可及,1.0,131.8438882518046,1.2318398613300099,483.1349117345195,0.2060103165914358
DEU,SAH,纯直接效应-结构不可及,0.0,-237.0642222240518,-1305.9032438945794,557.7647705588643,-0.3704204731857257
DEU,T2D,完全汇流-结构可及,1.0,4650.497586014003,1204.9511765599025,9062.013437758298,7.2665520768979555
DEU,T2D,纯直接效应-结构不可及,0.0,91.65543709056313,29.56835142852713,177.20531042634823,0.14321456885654987
EGY,CKD,完全汇流-结构可及,1.0,10965.21345335436,1836.6352691715883,31530.410587107493,20.721604370913195
EGY,ICH,基本不汇流-结构近乎不可及,0.024,1079.2648677674918,-53.55521366853735,2931.9084168338522,2.0395498634331215
EGY,ICH,完全汇流-结构可及,1.0,912.7219689380686,6.123495011427396,4234.786402333394,1.7248240192889177
EGY,ICH,纯直接效应-结构不可及,0.0,-500.38015736112624,-2642.9937877698812,1247.7713897997858,-0.9455976119389333
EGY,ICH,部分汇流-结构小部可及,0.119,-0.01130563377038068,-0.05962344501792922,0.005925142148226429,-2.1364916528879654e-05
EGY,IHD,基本不汇流-结构近乎不可及,0.006,34094.74460512519,-81127.49305126978,136008.47222345657,64.43083044759216
EGY,IHD,完全汇流-结构可及,1.0,15795.792824972597,157.59371252655308,60120.04447269061,29.8502323768137
EGY,IHD,纯直接效应-结构不可及,0.0,33521.16787282141,-13419.67030163617,102677.0532657073,63.346908992371944
EGY,IHD,部分汇流-结构小部可及,0.2012,120546.18306590806,19634.233814384937,250303.27860020776,227.80316357191288
EGY,IschStroke,完全汇流-结构可及,1.0,5137.400955491129,134.16921599344255,20153.961519876008,9.708446675233029
EGY,IschStroke,纯直接效应-结构不可及,0.0,-452.38051032395276,-1771.7484588541847,605.1174167425278,-0.8548898751421162
EGY,IschStroke,部分汇流-结构小部可及,0.17066666666666666,1667.360122194766,-1057.040772189488,5519.511311395127,3.150907817976689
EGY,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,96.97242663097656,-5.178913160762987,276.701127431793,0.18325445902923135
EGY,SAH,完全汇流-结构可及,1.0,71.74745275224079,0.41006925180574594,356.02374036781384,0.1355853524308657
EGY,SAH,纯直接效应-结构不可及,0.0,-49.95020472777043,-281.68182606707643,112.5730097787622,-0.09439381960214792
EGY,T2D,完全汇流-结构可及,1.0,4654.4526345085715,847.395568941922,11822.947140081804,8.795791022739918
EGY,T2D,纯直接效应-结构不可及,0.0,65.62714051030586,3.656449902426844,235.91473232807894,0.12401944088310315
GBR,CKD,完全汇流-结构可及,1.0,1434.2141558090075,436.18214552636806,3146.1221169361097,2.9151857986271184
GBR,ICH,基本不汇流-结构近乎不可及,0.024,395.53536642235935,-25.492838541822593,828.1471314473627,0.8039657664645078
GBR,ICH,完全汇流-结构可及,1.0,266.7694802637603,0.02570860976009315,1088.8817745267454,0.5422360372209395
GBR,ICH,纯直接效应-结构不可及,0.0,-348.25053712283494,-1905.7874476074692,1170.773295929562,-0.7078545530127577
GBR,ICH,部分汇流-结构小部可及,0.119,23.878516285351534,-0.6545260331003713,129.28332974551816,0.04853550725698812
GBR,IHD,基本不汇流-结构近乎不可及,0.006,6692.648499009585,-8529.419567635514,21564.11285282312,13.60348716437715
GBR,IHD,完全汇流-结构可及,1.0,1846.3321088601888,0.47042065886400664,6968.276215468517,3.752857355017802
GBR,IHD,纯直接效应-结构不可及,0.0,10545.465783406902,-2546.211351693409,26925.82557998669,21.434729232856544
GBR,IHD,部分汇流-结构小部可及,0.2012,20086.722406918583,6685.704975217849,34345.41264026675,40.82830145305866
GBR,IschStroke,完全汇流-结构可及,1.0,816.4407086351081,81.18774644546501,2726.2110798617227,1.6594985829655136
GBR,IschStroke,纯直接效应-结构不可及,0.0,58.42005827678751,-237.6480593079907,556.0950687010712,0.11874469621825358
GBR,IschStroke,部分汇流-结构小部可及,0.17066666666666666,527.4641417701696,-639.6539023116525,1816.4769741559087,1.0721243889174157
GBR,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,185.57760222076243,-13.052144144927905,402.49173613358926,0.37720530671521446
GBR,SAH,完全汇流-结构可及,1.0,82.66803797683609,-0.03878260886456077,356.3095900056769,0.16803117535435383
GBR,SAH,纯直接效应-结构不可及,0.0,-177.61923516492456,-911.4496030541184,529.1985740997716,-0.3610291181540621
GBR,T2D,完全汇流-结构可及,1.0,1913.3461198624316,468.29260348665764,3622.624675885218,3.889070132162358
GBR,T2D,纯直接效应-结构不可及,0.0,37.93127857950243,8.012391080933984,85.68724032954815,0.07709917252654692
GLB,CKD,完全汇流-结构可及,1.0,344228.14458158216,117282.42848578098,700364.9367990725,7.1819359266472
GLB,ICH,基本不汇流-结构近乎不可及,0.024,245564.34587286387,-15029.820002098706,500355.2193045286,5.123425918794854
GLB,ICH,完全汇流-结构可及,1.0,333314.40049755713,60891.31932771105,804015.5335079152,6.954232840873759
GLB,ICH,纯直接效应-结构不可及,0.0,-66308.50316193266,-589538.3380871497,385325.82790774904,-1.383452889012736
GLB,ICH,部分汇流-结构小部可及,0.119,50308.32528404171,-3710.2632684815535,119707.60085395633,1.0496270408280983
GLB,IHD,基本不汇流-结构近乎不可及,0.006,645756.2942516995,-1413612.8309283478,2365021.0466438085,13.472984131446248
GLB,IHD,完全汇流-结构可及,1.0,643434.8970120287,78580.3797274936,1662483.419177063,13.424550769741103
GLB,IHD,纯直接效应-结构不可及,0.0,1695579.8735494446,-225608.27084072525,3890731.7979599214,35.376381048524614
GLB,IHD,部分汇流-结构小部可及,0.2012,3017104.8066729284,948999.4525678483,5246120.753769018,62.948523374935085
GLB,IschStroke,完全汇流-结构可及,1.0,300355.94878329244,47549.74642918976,771458.9373061436,6.26659154198733
GLB,IschStroke,纯直接效应-结构不可及,0.0,19399.02170613335,-45261.919369685966,118251.35317336225,0.4047389300559312
GLB,IschStroke,部分汇流-结构小部可及,0.17066666666666666,201100.9949777632,-92928.01407467139,530520.0895843173,4.19574774302918
GLB,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,33648.11551143841,-2382.7615459775884,73933.09620758724,0.7020303640462533
GLB,SAH,完全汇流-结构可及,1.0,33786.30151544588,5670.504506396989,86628.66341004561,0.7049134607434958
GLB,SAH,纯直接效应-结构不可及,0.0,-10843.71566000785,-85344.51654529432,51731.615249530034,-0.22624202088885245
GLB,T2D,完全汇流-结构可及,1.0,449455.9242059548,89291.41322575777,858301.7237372728,9.377396068014246
GLB,T2D,纯直接效应-结构不可及,0.0,15297.150425287313,5633.249433066061,29015.65102778284,0.31915796527398665
IND,CKD,完全汇流-结构可及,1.0,37613.641275286864,13480.860878805308,81315.60111178212,4.6142830009637
IND,ICH,基本不汇流-结构近乎不可及,0.024,88325.87462488243,-5547.561605724244,191171.40452058244,10.835446077767106
IND,ICH,完全汇流-结构可及,1.0,41957.90780959838,1023.4942095164562,149664.35176392552,5.1472193118680005
IND,ICH,纯直接效应-结构不可及,0.0,11246.860454148225,-9018.47660673363,39889.99755394661,1.3797174442104378
IND,ICH,部分汇流-结构小部可及,0.119,7188.537481164081,-316.93120541550314,22409.653438962923,0.8818594843918859
IND,IHD,基本不汇流-结构近乎不可及,0.006,184826.4308576183,-526013.1802398186,742159.1379674212,22.67372764559861
IND,IHD,完全汇流-结构可及,1.0,95433.04760193083,1623.7918283465613,334105.27715307765,11.707324107678819
IND,IHD,纯直接效应-结构不可及,0.0,319445.35983703646,-6186.626898187148,761150.1528870752,39.188210544274874
IND,IHD,部分汇流-结构小部可及,0.2012,916911.8182485416,242862.32003206515,1724214.6679274023,112.48287783046325
IND,IschStroke,完全汇流-结构可及,1.0,33157.94634732767,707.1146174412605,133830.34941751242,4.067677124306109
IND,IschStroke,纯直接效应-结构不可及,0.0,3114.5851652917377,-3932.799783802775,15653.571112147236,0.38208418265268773
IND,IschStroke,部分汇流-结构小部可及,0.17066666666666666,67849.3659448063,-18766.668100021096,178705.6458029759,8.323474284607062
IND,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,9398.063663405683,-578.8923194405866,26173.888241577883,1.152914845086259
IND,SAH,完全汇流-结构可及,1.0,3771.9377005537526,88.9951675907403,15123.362035192647,0.4627254214761356
IND,SAH,纯直接效应-结构不可及,0.0,1129.394033962755,-941.5343272050143,4582.7260703955535,0.13854930061578874
IND,T2D,完全汇流-结构可及,1.0,146495.9817038683,26169.660005078887,322496.622633381,17.97150967486312
IND,T2D,纯直接效应-结构不可及,0.0,5940.860636913055,1718.7748580891136,12761.55236777073,0.7287997470750914
ISR,CKD,完全汇流-结构可及,1.0,338.29644430227137,65.88434151096146,859.509013165998,5.924631809798209
ISR,ICH,基本不汇流-结构近乎不可及,0.024,29.755179509347396,-2.136352512842315,67.1749248229491,0.5211065206166338
ISR,ICH,完全汇流-结构可及,1.0,39.9168698745437,0.06292041994201354,142.54830460227726,0.6990695911512115
ISR,ICH,纯直接效应-结构不可及,0.0,-55.1530838999393,-242.9615930557305,107.35633224781192,-0.9659034872683582
ISR,ICH,部分汇流-结构小部可及,0.119,-0.00017322924105290236,-0.001599752177296478,0.0018463697833942454,-3.033787346024246e-06
ISR,IHD,基本不汇流-结构近乎不可及,0.006,163.58919852724378,-202.71743133576007,661.9814073402447,2.864959965313462
ISR,IHD,完全汇流-结构可及,1.0,141.6496495979182,0.1570415647481303,519.8676082364204,2.4807296499538216
ISR,IHD,纯直接效应-结构不可及,0.0,466.5368767764839,-106.45989506532733,1222.0166378712013,8.170524009776905
ISR,IHD,部分汇流-结构小部可及,0.2012,571.741969546592,170.19788821567477,1131.831108150504,10.012995160971235
ISR,IschStroke,完全汇流-结构可及,1.0,54.52782043334947,4.824423922566826,189.5031222710789,0.9549531628234674
ISR,IschStroke,纯直接效应-结构不可及,0.0,0.8258895963847864,-17.94246972072554,25.688377250010998,0.014463917243394617
ISR,IschStroke,部分汇流-结构小部可及,0.17066666666666666,21.637667917988747,-30.605792672022908,83.20146618440049,0.3789434319984238
ISR,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,5.594323614476337,-0.41179943914849776,12.644788870582243,0.09797415313953763
ISR,SAH,完全汇流-结构可及,1.0,6.542517779962167,0.00869985539534983,24.798069426827823,0.11458000699735395
ISR,SAH,纯直接效应-结构不可及,0.0,-10.770704866029153,-45.99396588997225,20.01947187846475,-0.18862882462402586
ISR,T2D,完全汇流-结构可及,1.0,573.6972611240309,122.15417246579867,1167.4205776214249,10.047238449283109
ISR,T2D,纯直接效应-结构不可及,0.0,7.564802876623878,1.441445984779821,16.979613254665793,0.13248342544698127
JPN,CKD,完全汇流-结构可及,1.0,5113.354166975824,1523.6824173747355,11001.885171215346,5.181516213965356
JPN,ICH,基本不汇流-结构近乎不可及,0.024,1262.276699358124,-86.62834508246998,2520.893939844806,1.279103103492443
JPN,ICH,完全汇流-结构可及,1.0,1722.0475199374484,89.71676719194576,4464.18473462429,1.745002762257697
JPN,ICH,纯直接效应-结构不可及,0.0,-268.17780200780146,-4746.221795501705,3304.583520315792,-0.27175266644024426
JPN,ICH,部分汇流-结构小部可及,0.119,2.4693951277252246,-0.0839708598206714,19.05188404160236,0.0025023126650667218
JPN,IHD,基本不汇流-结构近乎不可及,0.006,4488.072475519461,-6233.3337803675795,15893.746866803282,4.547899390882475
JPN,IHD,完全汇流-结构可及,1.0,4354.106059146619,202.08442021696564,10752.539205589439,4.41214717503836
JPN,IHD,纯直接效应-结构不可及,0.0,7887.685484918297,776.1487287443427,17095.313529405146,7.992829930443693
JPN,IHD,部分汇流-结构小部可及,0.2012,19847.08505754248,6705.038023646368,33645.83901646758,20.1116507222943
JPN,IschStroke,完全汇流-结构可及,1.0,2757.1331705862463,206.25497582960898,7041.209950595398,2.793886314333581
JPN,IschStroke,纯直接效应-结构不可及,0.0,177.21923391360394,-696.0321370600988,1161.3126802216245,0.17958160220553318
JPN,IschStroke,部分汇流-结构小部可及,0.17066666666666666,1082.667487812325,-1310.1492531790527,3626.854303104323,1.0970996647686782
JPN,SAH,基本不汇流-结构近乎不可及,0.029999999999999995,666.1216140387347,-47.24658407974172,1319.0995414890208,0.6750011501072688
JPN,SAH,完全汇流-结构可及,1.0,691.7507556479292,29.039487847243624,1852.1183699103206,0.7009719333664686
JPN,SAH,纯直接效应-结构不可及,0.0,-128.0608323225256,-2626.6664885379255,1725.9514576444053,-0.12976790916196326
JPN,T2D,完全汇流-结构可及,1.0,2175.2149385750167,518.9927059645609,4227.012759518884,2.20421099439549
