sex,scenario,outcome,iso3,paf_base,paf_scen,averted_frac_alldeaths
male,single_v01,IHD,NZL,0.43649019469574163,0.42550597725054573,0.010984217445195914
male,single_v01,IHD,ROU,0.5228917243933635,0.5162475008429155,0.006644223550448028
male,single_v01,IHD,TUR,0.28903067495736695,0.2873391115816514,0.0016915633757155603
male,single_v01,IHD,USA,0.41029194863902935,0.4000421167301889,0.010249831908840434
male,single_v01,IHD,ZAF,0.49196452572082444,0.466906883572681,0.02505764214814343
male,single_v01,T2D,AUS,0.36466997499334075,0.3511736301938332,0.01349634479950759
male,single_v01,T2D,BGD,0.2889451225731197,0.26585908117788687,0.02308604139523287
male,single_v01,T2D,BGR,0.2941101402358065,0.2750535509581733,0.019056589277633183
male,single_v01,T2D,BRA,0.2312157696059605,0.22291628179464443,0.008299487811316057
male,single_v01,T2D,CAN,0.3288875081657465,0.3217441160202983,0.007143392145448202
male,single_v01,T2D,CHN,0.2240341366375308,0.20007726984740723,0.023956866790123568
male,single_v01,T2D,DEU,0.3507082252201217,0.34175948529400785,0.008948739926113843
male,single_v01,T2D,EGY,0.11610794874563297,0.1110507295278974,0.005057219217735577
male,single_v01,T2D,GBR,0.35727464621660215,0.3450284067993228,0.012246239417279342
male,single_v01,T2D,GLB,0.22097006043489614,0.20452211423741418,0.016447946197481977
male,single_v01,T2D,IND,0.178885513310306,0.14029642589142816,0.03858908741887785
male,single_v01,T2D,ISR,0.26680544392053535,0.263152460673561,0.0036529832469743236
male,single_v01,T2D,JPN,0.32150296841689047,0.30158175657890973,0.019921211837980703
male,single_v01,T2D,MEX,0.254664633054482,0.2471779005496656,0.007486732504816422
male,single_v01,T2D,NGA,0.14120814674147192,0.12028835901477676,0.02091978772669517
male,single_v01,T2D,NZL,0.33240073808654547,0.31980478925152067,0.012595948835024831
male,single_v01,T2D,ROU,0.29505807653501587,0.2867629498581741,0.008295126676841784
male,single_v01,T2D,TUR,0.14464063091246188,0.14317003861514405,0.001470592297317835
male,single_v01,T2D,USA,0.41472027079556245,0.40573889111542727,0.008981379680135206
male,single_v01,T2D,ZAF,0.2480643452965826,0.20861059679124075,0.03945374850534185
male,single_v01,IschStroke,AUS,0.09130194255776819,0.0880275152874999,0.0032744272702682903
male,single_v01,IschStroke,BGD,0.22717918837395304,0.20150436385082982,0.025674824523123207
male,single_v01,IschStroke,BGR,0.24244741579920853,0.23350697348245514,0.008940442316753403
male,single_v01,IschStroke,BRA,0.16770562403054673,0.16462775564617949,0.0030778683843672473
male,single_v01,IschStroke,CAN,0.11745040113418032,0.11501425369662129,0.002436147437559037
male,single_v01,IschStroke,CHN,0.2555387298208225,0.2472336309128778,0.008305098907944659
male,single_v01,IschStroke,DEU,0.1307670038072804,0.1274340350197023,0.00333296878757812
male,single_v01,IschStroke,EGY,0.0629042345673888,0.060371049406832245,0.0025331851605565605
male,single_v01,IschStroke,GBR,0.10351783238753835,0.09923227369019633,0.004285558697342015
male,single_v01,IschStroke,GLB,0.196834477781792,0.18801918544599366,0.008815292335798353
male,single_v01,IschStroke,IND,0.22547769743915574,0.1578835208633295,0.06759417657582625
male,single_v01,IschStroke,ISR,0.09237694651636724,0.0905312980218727,0.0018456484944945532
male,single_v01,IschStroke,JPN,0.1407568418683888,0.1291663615841897,0.011590480284199097
male,single_v01,IschStroke,MEX,0.12733398946276425,0.12369818331801281,0.0036358061447514457
male,single_v01,IschStroke,NGA,0.1094488440799445,0.09749772930083778,0.011951114779106731
male,single_v01,IschStroke,NZL,0.10174917057320837,0.09834654432924954,0.003402626243958836
male,single_v01,IschStroke,ROU,0.24340068824382902,0.2398189571838085,0.003581731060020513
male,single_v01,IschStroke,TUR,0.0696840060680987,0.0683768987394208,0.001307107328677904
male,single_v01,IschStroke,USA,0.13335521507056575,0.12942767151104878,0.003927543559516958
male,single_v01,IschStroke,ZAF,0.14646534604519532,0.10189282532594078,0.04457252071925453
male,single_v01,CKD,NZL,0.008878354396273713,0.008878354396273713,0.0
male,single_v01,CKD,JPN,0.03356122863457245,0.03356122863457245,0.0
male,single_v01,CKD,ISR,0.017230110914442376,0.017230110914442376,0.0
male,single_v01,CKD,GLB,0.0375707022532894,0.0375707022532894,0.0
male,single_v01,CKD,NGA,0.0,0.0,0.0
male,single_v01,CKD,CAN,0.019858243129001862,0.019858243129001862,0.0
male,single_v01,CKD,BGD,0.013695479815884481,0.013695479815884481,0.0
male,single_v01,CKD,EGY,0.011112624168932439,0.011112624168932439,0.0
male,single_v01,CKD,BGR,0.09094450444770008,0.09094450444770008,0.0
male,single_v01,CKD,AUS,0.007045597322723918,0.007045597322723918,0.0
male,single_v01,CKD,USA,0.013393625573512646,0.013393625573512646,0.0
male,single_v01,CKD,ZAF,0.0006028983308736802,0.0006028983308736802,0.0
male,single_v01,CKD,DEU,0.023085076069163546,0.023085076069163546,0.0
male,single_v01,CKD,GBR,0.007407950814520281,0.007407950814520281,0.0
